year	stem	qidx	primary_unit	theme	module	matched_units	competencies	level	note
1985	shanghai_science	3	空间向量与立体几何	几何与代数	选择性必修	空间向量与立体几何;直线与圆	直观想象;数学运算	水平2-3	
1985	shanghai_science	4	三角函数	函数	必修	三角函数;相等关系与不等关系	数学运算;直观想象;逻辑推理	水平1-2	
1985	shanghai_science	5	直线与圆	几何与代数	选择性必修	直线与圆	直观想象;数学运算	水平2-3	
1985	shanghai_science	6	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1985	shanghai_science	7	三角函数	函数	必修	三角函数;相等关系与不等关系	数学运算;直观想象;逻辑推理	水平1-2	
1985	shanghai_science	8	幂函数、指数函数、对数函数	函数	必修	幂函数、指数函数、对数函数	数学运算;数学抽象	水平1-2	
1985	shanghai_science	9	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1985	shanghai_science	10	立体几何初步	几何与代数	必修	立体几何初步;三角函数;平面向量	直观想象;数学运算	水平1-2	
1985	shanghai_science	11	常用逻辑用语	预备知识	必修	常用逻辑用语;复数	逻辑推理;数学抽象;数学运算	水平1-2	
1985	shanghai_science	12	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1985	shanghai_science	13	函数概念与性质	函数	必修	函数概念与性质;集合	数学抽象;数学运算	水平1-2	
1985	shanghai_science	14	立体几何初步	几何与代数	必修	立体几何初步;空间向量与立体几何;直线与圆	直观想象;数学运算	水平1-2	
1985	shanghai_science	15	平面向量	几何与代数	必修	平面向量	数学运算;直观想象	水平1-2	
1985	shanghai_science	16	参数方程与极坐标	几何与代数	选择性必修	参数方程与极坐标;三角函数;平面向量;复数	数学运算;直观想象	水平2-3	
1985	shanghai_science	17	计数原理	概率与统计	选择性必修	计数原理;复数;立体几何初步;直线与圆	逻辑推理;数学运算;数学抽象;直观想象	水平2-3	
1985	shanghai_science	18	三角函数	函数	必修	三角函数;复数	数学运算;直观想象;数学抽象	水平1-2	
1985	shanghai_science	19	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1985	shanghai_science	20	函数概念与性质	函数	必修	函数概念与性质	数学抽象;数学运算	水平1-2	
1985	shanghai_science	21	相等关系与不等关系	预备知识	必修	相等关系与不等关系	数学运算;逻辑推理	水平1-2	
1985	shanghai_science	22	数列	函数	选择性必修	数列;空间向量与立体几何;立体几何初步	逻辑推理;数学运算;直观想象	水平2-3	
1985	shanghai_science	23	直线与圆	几何与代数	选择性必修	直线与圆	直观想象;数学运算	水平2-3	
1986	shanghai_liberal	1	平面向量	几何与代数	必修	平面向量	数学运算;直观想象	水平1-2	
1986	shanghai_liberal	2	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1986	shanghai_liberal	3	平面向量	几何与代数	必修	平面向量;直线与圆	数学运算;直观想象	水平1-2	
1986	shanghai_liberal	4	三角函数	函数	必修	三角函数;相等关系与不等关系	数学运算;直观想象;逻辑推理	水平1-2	
1986	shanghai_liberal	5	常用逻辑用语	预备知识	必修	常用逻辑用语;空间向量与立体几何;直线与圆	逻辑推理;数学抽象;直观想象;数学运算	水平1-2	
1986	shanghai_liberal	6	三角函数	函数	必修	三角函数;函数概念与性质	数学运算;直观想象;数学抽象	水平1-2	
1986	shanghai_liberal	7	立体几何初步	几何与代数	必修	立体几何初步	直观想象;数学运算	水平1-2	
1986	shanghai_liberal	8	圆锥曲线	几何与代数	选择性必修	圆锥曲线	直观想象;数学运算;逻辑推理	水平2-3	
1986	shanghai_liberal	9	复数	几何与代数	必修	复数	数学运算;数学抽象	水平1-2	
1986	shanghai_liberal	10	常用逻辑用语	预备知识	必修	常用逻辑用语;幂函数、指数函数、对数函数	逻辑推理;数学抽象;数学运算	水平1-2	
1986	shanghai_liberal	11	数列	函数	选择性必修	数列	逻辑推理;数学运算	水平2-3	
1986	shanghai_liberal	12	圆锥曲线	几何与代数	选择性必修	圆锥曲线;直线与圆	直观想象;数学运算;逻辑推理	水平2-3	
1986	shanghai_liberal	13	三角函数	函数	必修	三角函数	数学运算;直观想象	水平1-2	
1986	shanghai_liberal	14	三角函数	函数	必修	三角函数;相等关系与不等关系	数学运算;直观想象;逻辑推理	水平1-2	
1986	shanghai_liberal	15	集合	预备知识	必修	集合	数学抽象;数学运算	水平1-2	
1986	shanghai_liberal	16	函数概念与性质	函数	必修	函数概念与性质	数学抽象;数学运算	水平1-2	
1986	shanghai_liberal	17	相等关系与不等关系	预备知识	必修	相等关系与不等关系	数学运算;逻辑推理	水平1-2	
1986	shanghai_liberal	18	立体几何初步	几何与代数	必修	立体几何初步;直线与圆	直观想象;数学运算	水平1-2	
1986	shanghai_liberal	19	复数	几何与代数	必修	复数	数学运算;数学抽象	水平1-2	
